id,sourceGroup,ownerBucket,cutoverRisk,decisionStatus,source,proposedTarget,recommendedAction,reason,evidence,notes
TAG-MANUAL-001,malformed_tag_route,SEO/content,low,needs_decision,/tag/abas-k%eb%ab%bf/,/search?tag=abas%20k%EB%AB%BF,"Retire, fix the encoded slug, or manually map to a clean /search?tag=... target. Do not bulk-redirect malformed encoded slugs blindly.",Encoded tag slug needs manual review before redirecting.,reports/wordpress-tag-archive-cutover-policy.json,
TAG-MANUAL-002,malformed_tag_route,SEO/content,low,needs_decision,/tag/abbas-k%eb%ab%bf/,/search?tag=abbas%20k%EB%AB%BF,"Retire, fix the encoded slug, or manually map to a clean /search?tag=... target. Do not bulk-redirect malformed encoded slugs blindly.",Encoded tag slug needs manual review before redirecting.,reports/wordpress-tag-archive-cutover-policy.json,
AUTHOR-001,author_archive,Content/SEO,medium,needs_decision,/author/admin/,/authors/admin,Retire or redirect to /magazine after confirming this is not a real public author profile.,Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-002,author_archive,Content/SEO,medium,needs_decision,/author/frank/,/authors/frank,"Map WordPress username slug to the correct React author slug, then approve a 302 redirect only after the target route exists.",Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-003,author_archive,Content/SEO,medium,needs_decision,/author/frank/page/2/,/authors/frank,"After parent author mapping is approved, collapse paginated archive to the canonical mapped author destination or retire with parent archive.",Paginated legacy author archive has no confirmed matching React author route.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-004,author_archive,Content/SEO,medium,needs_decision,/author/frank/page/3/,/authors/frank,"After parent author mapping is approved, collapse paginated archive to the canonical mapped author destination or retire with parent archive.",Paginated legacy author archive has no confirmed matching React author route.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-005,author_archive,Content/SEO,medium,needs_decision,/author/gatwiri_c/,/authors/gatwiri_c,"Map WordPress username slug to the correct React author slug, then approve a 302 redirect only after the target route exists.",Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-006,author_archive,Content/SEO,medium,needs_decision,/author/hafare/,/authors/hafare,"Map WordPress username slug to the correct React author slug, then approve a 302 redirect only after the target route exists.",Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-007,author_archive,Content/SEO,medium,needs_decision,/author/hafare/page/2/,/authors/hafare,"After parent author mapping is approved, collapse paginated archive to the canonical mapped author destination or retire with parent archive.",Paginated legacy author archive has no confirmed matching React author route.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-008,author_archive,Content/SEO,medium,needs_decision,/author/james/,/authors/james,"Map WordPress username slug to the correct React author slug, then approve a 302 redirect only after the target route exists.",Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-009,author_archive,Content/SEO,medium,needs_decision,/author/james/page/2/,/authors/james,"After parent author mapping is approved, collapse paginated archive to the canonical mapped author destination or retire with parent archive.",Paginated legacy author archive has no confirmed matching React author route.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-010,author_archive,Content/SEO,medium,needs_decision,/author/james/page/3/,/authors/james,"After parent author mapping is approved, collapse paginated archive to the canonical mapped author destination or retire with parent archive.",Paginated legacy author archive has no confirmed matching React author route.,reports/wordpress-author-static-cutover-policy.json,
