legacyPath,legacyStatus,auditClassification,cutoverDecision,targetPath,confidence,title,notes
/,200,preserve_or_map,native_react_route,/,high,Magazine | WAKILISHA,Exact route exists in current React prerender output.
/10-contemporary-kenyan-artists-you-should-know/,200,preserve_or_map,redirect_to_react_route,/magazine/10-contemporary-kenyan-artists-you-should-know,high,10 Contemporary Kenyan Artists You Should Know | WAKILISHA,Legacy article/page slug has a matching React magazine route.
/10-kenyan-authors-you-should-read/,200,preserve_or_map,redirect_to_react_route,/magazine/10-kenyan-authors-you-should-read,high,10 Kenyan Authors You Should Read | WAKILISHA,Legacy article/page slug has a matching React magazine route.
/10-places-in-nairobi-to-explore-art-music-and-design/,200,preserve_or_map,redirect_to_react_route,/magazine/10-places-in-nairobi-to-explore-art-music-and-design,high,"10 Places in Nairobi to Explore Art, Music and Design | WAKILISHA",Legacy article/page slug has a matching React magazine route.
/15-fatoumata-diawara-songs/,200,preserve_or_map,redirect_to_react_route,/magazine/15-fatoumata-diawara-songs,high,15 Fatoumata Diawara Songs to Improve Your Week | WAKILISHA,Legacy article/page slug has a matching React magazine route.
/15-fatoumata-diawara-songs/feed/,200,asset_or_non_html,ignore_for_html_cutover,,high,,Not an HTML content route for React cutover.
/15-things-to-do-home-5-months/,200,preserve_or_map,redirect_to_react_route,/magazine/15-things-to-do-home-5-months,high,15 Things To Do At Home When Life is Disrupted for 5 Months | WAKILISHA,Legacy article/page slug has a matching React magazine route.
/2021-visual-trends/,200,preserve_or_map,redirect_to_react_route,/magazine/2021-visual-trends,high,2021 Visual Trends | WAKILISHA,Legacy article/page slug has a matching React magazine route.
/2022-nyege-nyege-festival-officially-announced/,200,preserve_or_map,redirect_to_react_route,/magazine/2022-nyege-nyege-festival-officially-announced,high,2022 Nyege Nyege Festival Officially Announced | WAKILISHA,Legacy article/page slug has a matching React magazine route.
/2023-trends-to-take-note-of/,200,preserve_or_map,redirect_to_react_route,/magazine/2023-trends-to-take-note-of,high,2023 Trends to Take Note of | WAKILISHA,Legacy article/page slug has a matching React magazine route.
