source,target,status,targetExists,policyDecision,confidence,reason,legacyTitle
/account/,/account,302,false,product_decision_required,low,Legacy account route needs auth/product confirmation before cutover. Target route was not found in current React prerender output.,Account | WAKILISHA
/corrections/,/corrections,302,false,manual_review_static_route,low,Legacy corrections page can map to React corrections route if present. Target route was not found in current React prerender output.,Corrections | WAKILISHA
/events/,/events,302,false,manual_review_static_route,low,Legacy events page can map to React events route if present. Target route was not found in current React prerender output.,Events | WAKILISHA
/faq/,/faq,302,false,manual_review_static_route,low,Legacy FAQ page can map to React FAQ route if present. Target route was not found in current React prerender output.,FAQ | WAKILISHA
/methodology/,/methodology,302,false,manual_review_static_route,low,Legacy methodology page can map to React methodology route if present. Target route was not found in current React prerender output.,Methodology | WAKILISHA
/my-account/,/account,302,false,product_decision_required,low,Legacy WooCommerce account route needs auth/product confirmation before cutover. Target route was not found in current React prerender output.,Sign in | WAKILISHA
/my-library/,/library,302,false,product_decision_required,low,Legacy user library route needs auth/product confirmation before cutover. Target route was not found in current React prerender output.,My Library | WAKILISHA
/my-top-10/,/my-top-10,302,false,product_decision_required,low,Legacy user top 10 route needs auth/product confirmation before cutover. Target route was not found in current React prerender output.,Sign in | WAKILISHA
/news-resources/,/magazine,302,false,manual_review_static_route,low,Legacy news resources page can map to React magazine route if present. Target route was not found in current React prerender output.,News &amp; Resources | WAKILISHA
/order-tracking/,/account,302,false,product_decision_required,low,Legacy WooCommerce order tracking route needs product decision before cutover. Target route was not found in current React prerender output.,ORDER TRACKING | WAKILISHA
/settings/,/settings,302,false,product_decision_required,low,Legacy settings route needs auth/product confirmation before cutover. Target route was not found in current React prerender output.,Sign in | WAKILISHA
/venues/,/venues,302,false,manual_review_static_route,low,Legacy venues page can map to React venues route if present. Target route was not found in current React prerender output.,Venues | WAKILISHA
